uuid,_time,dst,dstp,proto,service,src,srcp,url,_value,_value_diff,hash_table
203527,2021-12-17 10:11:23+00:00,telenor.se,gsigatekeeper,tcp,gsigatekeeper,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,252.0,0.0,telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
203528,2021-12-17 10:11:51+00:00,telenor.se,gsigatekeeper,tcp,gsigatekeeper,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,252.0,0.0,telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
203529,2021-12-17 10:12:21+00:00,telenor.se,gsigatekeeper,tcp,gsigatekeeper,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,252.0,0.0,telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
203530,2021-12-17 10:12:54+00:00,telenor.se,gsigatekeeper,tcp,gsigatekeeper,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,252.0,0.0,telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
203531,2021-12-17 10:13:21+00:00,telenor.se,gsigatekeeper,tcp,gsigatekeeper,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,252.0,0.0,telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
203532,2021-12-17 10:13:50+00:00,telenor.se,gsigatekeeper,tcp,gsigatekeeper,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,252.0,0.0,telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
203533,2021-12-17 10:14:21+00:00,telenor.se,gsigatekeeper,tcp,gsigatekeeper,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,252.0,0.0,telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
203534,2021-12-17 10:14:51+00:00,telenor.se,gsigatekeeper,tcp,gsigatekeeper,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,252.0,0.0,telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
203535,2021-12-17 10:15:20+00:00,telenor.se,gsigatekeeper,tcp,gsigatekeeper,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,252.0,0.0,telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
203536,2021-12-17 10:15:50+00:00,telenor.se,gsigatekeeper,tcp,gsigatekeeper,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,252.0,0.0,telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
